id,REGISTRO_CAMARA_COMERCIO,REGISTRO_SUPERINTENDENCIA,TIPO_HABITACION,HORARIO_ADMIN_24H,TAMANO,UBICACION,CANTIDAD_NOCHES,CAPACIDAD_MAXIMA
1,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,Proin eu mi.,estandar,0,pequeño,847 Browning Park,18,3
2,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Integer tincidunt ante vel ipsum.,semisuite,1,pequeño,85162 Oxford Trail,5,6
3,Nullam sit amet turpis elementum ligula vehicula consequat.,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",semisuite,0,mediano,278 Logan Place,9,2
4,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Etiam justo. Etiam pretium iaculis justo.,estandar,0,grande,8239 2nd Center,6,4
5,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,Nunc purus.,semisuite,0,pequeño,5178 Pepper Wood Junction,15,2
6,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.","Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",suite,1,pequeño,51 Cardinal Way,5,4
7,Nulla nisl.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",suite,1,pequeño,3713 8th Court,12,6
8,Aenean auctor gravida sem.,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",estandar,0,grande,2 Cody Way,12,2
9,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Maecenas tincidunt lacus at velit.,semisuite,1,pequeño,59581 Straubel Plaza,4,6
10,Morbi porttitor lorem id ligula.,Aenean lectus. Pellentesque eget nunc.,suite,0,pequeño,666 Morningstar Point,4,3
11,Quisque id justo sit amet sapien dignissim vestibulum.,Ut tellus.,suite,1,mediano,735 Hansons Way,13,2
12,Aenean sit amet justo. Morbi ut odio.,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",semisuite,0,pequeño,32157 Texas Street,3,6
13,Nunc purus. Phasellus in felis.,Integer ac neque.,estandar,0,grande,41763 Evergreen Pass,3,4
14,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Duis consequat dui nec nisi volutpat eleifend.,semisuite,0,grande,3 Lien Terrace,15,6
15,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Integer ac leo. Pellentesque ultrices mattis odio.,suite,0,mediano,89267 Lakewood Place,3,2
16,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.","Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",estandar,0,mediano,29616 Esch Hill,20,4
17,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Praesent blandit lacinia erat.,suite,0,mediano,2 Morningstar Park,16,6
18,Nulla facilisi.,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",estandar,1,mediano,23 David Park,12,2
19,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,suite,1,mediano,57028 Spenser Park,10,6
20,Morbi non quam nec dui luctus rutrum.,Donec ut mauris eget massa tempor convallis.,semisuite,0,grande,81155 Pennsylvania Avenue,9,6
21,Pellentesque at nulla. Suspendisse potenti.,Ut tellus.,semisuite,1,mediano,04257 Birchwood Pass,7,2
22,Maecenas tincidunt lacus at velit.,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",semisuite,0,pequeño,231 Waxwing Lane,16,3
