ID,UBICACION,MENAJE,TIPO_HABITACION,MENSUAL,DESCRIPCION,CAPACIDAD_MAXIMA
1,905 Ohio Avenue,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",sencilla,0,Aenean sit amet justo.,1564
2,407 Rieder Park,Vivamus vestibulum sagittis sapien.,compartida,1,Maecenas ut massa quis augue luctus tincidunt.,2312
3,63684 Harper Court,Vestibulum sed magna at nunc commodo placerat.,compartida,1,Nulla nisl.,2908
4,4774 Merchant Point,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",compartida,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,4439
5,6249 Hagan Place,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,compartida,0,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",2130
6,26817 Center Junction,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",sencilla,1,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",3180
7,364 Mayer Trail,Cras pellentesque volutpat dui.,compartida,1,Vestibulum ac est lacinia nisi venenatis tristique.,2484
8,3 Katie Pass,Morbi non quam nec dui luctus rutrum.,compartida,1,In hac habitasse platea dictumst.,4313
9,59307 Eggendart Trail,Donec posuere metus vitae ipsum.,compartida,1,Curabitur gravida nisi at nibh.,2597
10,72 Mcbride Way,Phasellus sit amet erat.,compartida,0,Curabitur in libero ut massa volutpat convallis.,2775
11,0 Morrow Road,Mauris lacinia sapien quis libero.,compartida,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,4958
12,253 Summer Ridge Avenue,In sagittis dui vel nisl.,sencilla,1,Maecenas pulvinar lobortis est.,4548
13,74 Fairview Way,Curabitur at ipsum ac tellus semper interdum.,sencilla,1,Nullam molestie nibh in lectus.,1254
14,75 Red Cloud Lane,In hac habitasse platea dictumst.,compartida,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1396
15,1 Cardinal Terrace,Nulla facilisi.,sencilla,0,Integer ac leo.,3526
16,7 Moulton Lane,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",sencilla,1,Curabitur at ipsum ac tellus semper interdum.,2219
17,05392 Old Shore Avenue,Aenean auctor gravida sem.,compartida,0,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",1311
18,75 Washington Park,In hac habitasse platea dictumst.,sencilla,0,Pellentesque eget nunc.,4517
19,61279 Anhalt Pass,Morbi quis tortor id nulla ultrices aliquet.,compartida,0,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",2308
20,323 Heffernan Terrace,In congue.,compartida,1,Ut tellus.,3579
21,27974 Hazelcrest Park,Duis mattis egestas metus.,compartida,1,Donec posuere metus vitae ipsum.,2361
22,1 Maple Wood Park,Praesent blandit.,sencilla,1,Ut tellus.,1537
23,8667 Spohn Point,In hac habitasse platea dictumst.,compartida,0,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",4853
24,104 Weeping Birch Place,Mauris lacinia sapien quis libero.,sencilla,1,Proin interdum mauris non ligula pellentesque ultrices.,4809
25,7 Algoma Pass,Nulla facilisi.,sencilla,1,Duis ac nibh.,3959
26,6 Lakewood Plaza,Pellentesque ultrices mattis odio.,sencilla,0,Vivamus in felis eu sapien cursus vestibulum.,3286
27,3123 Nevada Circle,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",sencilla,1,Nunc rhoncus dui vel sem.,3127
