id,REGISTRO_CAMARA_COMERCIO,REGISTRO_SUPERINTENDENCIA,TIPO_HABITACION,HORARIO_ADMIN_INICIAL,HORARIO_ADMIN_FINAL,TAMANO,UBICACION,CANTIDAD_NOCHES,CAPACIDAD_MAXIMA
1,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,sencilla,8,14,pequeño,427 Mesta Junction,3,31
2,In eleifend quam a odio.,Nunc rhoncus dui vel sem. Sed sagittis.,sencilla,4,10,pequeño,370 Corscot Lane,5,6
3,Aenean lectus. Pellentesque eget nunc.,Ut tellus. Nulla ut erat id mauris vulputate elementum.,sencilla,5,11,pequeño,6148 Mallard Alley,8,5
4,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Etiam pretium iaculis justo.,compartida,7,13,grande,1 Monterey Drive,1,41
5,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.","Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",compartida,4,10,pequeño,14 Petterle Place,12,47
6,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Sed accumsan felis.,sencilla,4,10,mediano,7049 Russell Drive,16,37
7,In hac habitasse platea dictumst.,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",sencilla,5,11,pequeño,45 Anniversary Hill,7,15
8,Etiam justo. Etiam pretium iaculis justo.,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",compartida,7,13,pequeño,297 Longview Place,18,44
9,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,compartida,3,9,grande,96 Killdeer Circle,8,13
10,Morbi non lectus.,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",compartida,4,10,pequeño,949 Nova Lane,16,38
11,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",compartida,6,12,mediano,5 Burning Wood Street,6,22
12,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.","Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",compartida,6,12,pequeño,9 4th Alley,7,10
13,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",sencilla,4,10,pequeño,791 Shopko Court,11,20
14,Vivamus tortor. Duis mattis egestas metus.,Etiam vel augue.,compartida,9,15,grande,6 Derek Lane,15,7
15,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Maecenas tincidunt lacus at velit.,compartida,3,9,mediano,83 Florence Center,12,6
16,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,compartida,8,14,grande,1 Eggendart Terrace,15,39
17,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.","Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",compartida,3,9,grande,68 Eliot Pass,4,14
18,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,In quis justo. Maecenas rhoncus aliquam lacus.,sencilla,6,12,mediano,005 Marcy Way,5,23
19,Praesent lectus.,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",compartida,8,14,mediano,5 Alpine Alley,20,23
20,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",In congue. Etiam justo.,sencilla,4,10,pequeño,46 Jay Crossing,20,4
21,Nullam sit amet turpis elementum ligula vehicula consequat.,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,compartida,8,14,mediano,15891 Calypso Hill,4,28
22,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,Pellentesque ultrices mattis odio. Donec vitae nisi.,compartida,10,16,grande,11983 Bonner Terrace,5,25
