ID,UBICACION,MENAJE,TIPO_HABITACION,MENSUAL,DESCRIPICON,CAPACIDAD_MAXIMA
1,969 Thompson Park,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",compartida,1,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2344
2,12 International Center,Curabitur gravida nisi at nibh.,compartida,1,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,4485
3,5 Scott Alley,Nulla mollis molestie lorem.,sencilla,1,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,1886
4,8 Hanson Road,Cras non velit nec nisi vulputate nonummy.,sencilla,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",4080
5,16854 Forster Trail,Vivamus vel nulla eget eros elementum pellentesque.,compartida,1,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,4076
6,2 Tomscot Trail,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,compartida,0,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,3095
7,94117 Delaware Trail,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",sencilla,0,Proin eu mi. Nulla ac enim.,1193
8,4281 Waxwing Drive,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",compartida,1,Ut tellus.,3915
9,1477 Hauk Hill,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",compartida,1,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1875
10,8 Spenser Junction,Nunc rhoncus dui vel sem.,sencilla,1,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",4613
11,288 Prairieview Circle,Sed ante.,sencilla,0,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",3862
12,4855 Moose Park,Aliquam erat volutpat.,sencilla,0,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,4069
13,39 Nancy Avenue,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",sencilla,1,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,2991
14,0889 Straubel Terrace,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",sencilla,1,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,1814
15,380 Blackbird Place,Vivamus vestibulum sagittis sapien.,compartida,0,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,3665
16,970 Loeprich Court,In hac habitasse platea dictumst.,sencilla,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,4996
17,4 Truax Point,Aenean fermentum.,compartida,0,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,1357
18,63563 Mcbride Parkway,Pellentesque ultrices mattis odio.,compartida,1,Quisque ut erat. Curabitur gravida nisi at nibh.,3076
19,020 Mariners Cove Circle,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",sencilla,0,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2065
20,7 Continental Circle,Cras in purus eu magna vulputate luctus.,compartida,0,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",4266
21,70 Roxbury Street,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",sencilla,0,Fusce consequat. Nulla nisl.,4126
22,1463 Kinsman Drive,In hac habitasse platea dictumst.,compartida,0,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",3206
23,3883 Bunker Hill Lane,Curabitur gravida nisi at nibh.,sencilla,0,Nulla ac enim.,3861
24,56186 Londonderry Crossing,Etiam vel augue.,sencilla,1,Nulla justo.,1158
25,7 Armistice Crossing,Quisque id justo sit amet sapien dignissim vestibulum.,sencilla,1,Ut tellus. Nulla ut erat id mauris vulputate elementum.,4705
26,6 Oneill Crossing,Donec ut dolor.,sencilla,1,Proin eu mi. Nulla ac enim.,3625
27,25 Scofield Road,Morbi ut odio.,compartida,1,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,3570
28,77797 Butterfield Avenue,Pellentesque ultrices mattis odio.,sencilla,0,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,1446
29,7 Lighthouse Bay Terrace,In quis justo.,compartida,1,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",4984
30,97507 Oak Valley Place,Quisque porta volutpat erat.,compartida,0,Duis mattis egestas metus.,1600
31,3 Kenwood Plaza,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",sencilla,0,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",2180
32,9081 Swallow Hill,Praesent lectus.,compartida,1,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,1151
33,585 Sycamore Center,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,compartida,0,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,1473
34,4403 1st Court,Suspendisse potenti.,compartida,1,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",3294
35,9 Nevada Crossing,Suspendisse ornare consequat lectus.,compartida,0,Etiam vel augue.,4896
36,0677 Golf Center,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",compartida,1,Aenean fermentum.,4379
37,77 Derek Hill,In hac habitasse platea dictumst.,sencilla,1,Donec posuere metus vitae ipsum. Aliquam non mauris.,1772
38,92454 Carberry Trail,Aliquam sit amet diam in magna bibendum imperdiet.,sencilla,1,Pellentesque viverra pede ac diam.,4154
39,3413 Morrow Crossing,Aliquam quis turpis eget elit sodales scelerisque.,sencilla,1,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,3021
